symbol,date,open,high,low,close,adjusted_close,volume
SPY,2024-10-09,573.16,577.71,572.55,577.14,566.9708,37912200
AAPL,2024-10-10,227.78,229.5,227.17,229.04,227.5453,28183500
MSFT,2024-10-10,415.225,417.35,413.15,415.84,411.0321,13848380
NVDA,2024-10-10,131.91,135.0,131.0,134.81,134.7566,242311297
SPY,2024-10-10,575.77,577.58,574.49,576.13,565.9786,44138100
AAPL,2024-10-11,229.3,229.41,227.34,227.55,226.065,31759200
MSFT,2024-10-11,416.135,417.13,413.25,416.32,411.5066,14144940
NVDA,2024-10-11,134.01,135.78,133.66,134.8,134.7466,170209500
SPY,2024-10-11,576.05,580.33,575.91,579.58,569.3678,42268000
AAPL,2024-10-14,228.7,231.73,228.6,231.3,229.7905,39882100
MSFT,2024-10-14,417.77,424.04,417.52,419.14,414.294,16653090
NVDA,2024-10-14,136.47,139.6,136.3,138.07,138.0153,232347703
SPY,2024-10-14,581.22,585.27,580.73,584.32,574.0243,36217200
AAPL,2024-10-15,233.61,237.49,232.37,233.85,232.3239,64751400
MSFT,2024-10-15,422.18,422.48,415.26,418.74,413.8986,18900199
NVDA,2024-10-15,137.87,138.57,128.74,131.6,131.5478,377831000
SPY,2024-10-15,584.59,584.9,578.54,579.78,569.5643,54203600
AAPL,2024-10-16,231.6,232.12,229.84,231.78,230.2674,34082200
MSFT,2024-10-16,415.17,416.36,410.48,416.12,411.3089,15508930
NVDA,2024-10-16,133.98,136.62,131.58,135.72,135.6662,264879688
SPY,2024-10-16,579.78,582.83,578.96,582.3,572.0399,30725400
AAPL,2024-10-17,233.43,233.85,230.52,232.15,230.635,32993800
MSFT,2024-10-17,422.36,422.5,415.59,416.72,411.9019,14820000
NVDA,2024-10-17,139.34,140.89,136.87,136.93,136.8757,306435906
SPY,2024-10-17,585.91,586.12,582.16,582.35,572.089,34393700
AAPL,2024-10-18,236.18,236.18,234.01,235.0,233.4664,46431500
MSFT,2024-10-18,417.14,419.65,416.2601,418.16,413.3253,17145320
NVDA,2024-10-18,138.665,138.9,137.28,138.0,137.9453,176090203
SPY,2024-10-18,584.07,585.39,582.58,584.59,574.2895,37416800
AAPL,2024-10-21,234.45,236.85,234.45,236.48,234.9367,36254500
MSFT,2024-10-21,416.12,418.96,413.7501,418.78,413.9381,14206120
NVDA,2024-10-21,138.13,143.71,138.0,143.71,143.653,264554500
SPY,2024-10-21,583.85,584.85,580.6,583.63,573.3465,36439000
AAPL,2024-10-22,233.89,236.22,232.6,235.86,234.3208,38846600
MSFT,2024-10-22,418.49,430.5793,418.04,427.51,422.5672,25482199
NVDA,2024-10-22,142.91,144.42,141.78,143.59,143.5331,226311594
SPY,2024-10-22,581.05,584.5,580.38,583.32,573.0419,34183800
AAPL,2024-10-23,234.08,235.14,227.76,230.76,229.254,52287000
MSFT,2024-10-23,430.855,431.08,422.53,424.6,419.6908,19654381
NVDA,2024-10-23,142.03,142.43,137.46,139.56,139.5047,285929969
SPY,2024-10-23,581.26,581.71,574.42,577.99,567.8058,49314600
AAPL,2024-10-24,229.98,230.82,228.41,230.57,229.0653,31109500
MSFT,2024-10-24,425.325,425.9782,422.4,424.73,419.8193,13581630
NVDA,2024-10-24,140.82,141.35,138.46,140.41,140.3543,172354891
SPY,2024-10-24,579.98,580.06,576.57,579.24,569.0338,34979900
AAPL,2024-10-25,229.74,233.22,229.57,231.41,229.8998,38802300
MSFT,2024-10-25,426.76,432.52,426.565,428.15,423.1998,16899061
NVDA,2024-10-25,140.93,144.13,140.8,141.54,141.4839,205122094
SPY,2024-10-25,581.51,584.46,578.08,579.04,568.8373,47268200
AAPL,2024-10-28,233.32,234.73,232.55,233.4,231.8768,36087100
MSFT,2024-10-28,431.655,431.94,426.3,426.59,421.6578,14882440
NVDA,2024-10-28,143.0,143.14,140.05,140.52,140.4643,173586703
SPY,2024-10-28,582.58,582.71,580.52,580.83,570.5958,30174700
AAPL,2024-10-29,233.1,234.33,232.32,233.67,232.1451,35417200
MSFT,2024-10-29,428.0,433.17,425.8001,431.95,426.9559,17644080
NVDA,2024-10-29,140.285,142.2598,138.9,141.25,141.194,157593594
SPY,2024-10-29,579.85,582.91,578.43,581.77,571.5192,42899700
AAPL,2024-10-30,232.61,233.47,229.55,230.1,228.5984,47070900
MSFT,2024-10-30,437.435,438.5,432.1,432.53,427.5291,29749150
NVDA,2024-10-30,139.54,140.33,136.81,139.335,139.2798,179418094
SPY,2024-10-30,581.29,583.32,579.29,580.01,569.7902,41435800
AAPL,2024-10-31,229.34,229.83,225.37,225.91,224.4357,64370100
